City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Anderson,34.5334,-82.6499,66.69,84,40,10.36,US,11/26/2024
129,Varėna,54.2167,24.5667,34.93,94,19,4.56,LT,11/26/2024
130,Esim,4.8699,-2.2405,82.29,72,3,10.31,GH,11/26/2024
131,Mandalgovi,45.7625,106.2708,21.47,51,6,27.09,MN,11/26/2024
132,Punta Arenas,-53.15,-70.9167,50.11,71,0,12.66,CL,11/26/2024
133,Porto-Novo,6.4965,2.6036,87.62,69,6,8.77,BJ,11/26/2024
134,Whitehorse,60.7161,-135.0538,9.37,84,75,0.0,CA,11/26/2024
135,Solnechnyy,50.7214,136.6319,19.09,86,100,4.74,RU,11/26/2024
136,Dudinka,69.4058,86.1778,27.45,93,100,24.7,RU,11/26/2024
137,Bel Ombre,-4.6167,55.4167,80.44,78,20,2.3,SC,11/26/2024
138,Fortuna,40.5982,-124.1573,46.92,98,100,5.75,US,11/26/2024
139,Ribeira Grande,38.5167,-28.7,70.2,83,20,18.99,PT,11/26/2024
140,Xinji,37.9028,115.2036,32.2,40,24,13.65,CN,11/26/2024
141,Buala,-8.145,159.5921,80.1,83,84,9.37,SB,11/26/2024
142,Kuusamo,65.9667,29.1833,37.44,93,100,13.8,FI,11/26/2024
143,Tuba City,36.135,-111.2399,56.37,54,92,11.99,US,11/26/2024
144,Inarajan Village,13.2736,144.7484,81.79,86,86,21.63,GU,11/26/2024
145,Tura,25.5198,90.2201,60.76,89,30,3.98,IN,11/26/2024
146,Olonkinbyen,70.9221,-8.7187,24.22,62,94,9.51,SJ,11/26/2024
147,Manismata,-2.4667,111.0333,76.1,96,100,2.48,ID,11/26/2024
148,Ambon City,-3.6954,128.1814,81.88,95,40,8.05,ID,11/26/2024
149,Kralendijk,12.15,-68.2667,89.58,62,20,16.11,BQ,11/26/2024
150,El Calafate,-50.3408,-72.2768,57.63,53,43,6.04,AR,11/26/2024
151,Oamaru,-45.0784,170.9801,53.38,92,100,6.96,NZ,11/26/2024
152,Jacmel,18.2342,-72.5347,80.94,77,99,3.18,HT,11/26/2024
153,Ulladulla,-35.35,150.4667,68.9,69,46,4.27,AU,11/26/2024
154,Katsuura,35.1333,140.3,67.05,93,100,39.73,JP,11/26/2024
155,Cockburn Town,21.4612,-71.1419,80.53,81,100,19.04,TC,11/26/2024
156,Wailua Homesteads,22.0669,-159.378,65.19,88,75,8.05,US,11/26/2024
157,Les Cayes,18.2,-73.75,80.26,81,100,11.45,HT,11/26/2024
158,Mahibadhoo,3.7833,72.9667,82.26,76,99,11.86,MV,11/26/2024
159,Murray Bridge,-35.1167,139.2667,65.03,80,86,9.57,AU,11/26/2024
160,Salair,54.2312,85.7972,16.43,87,62,1.81,RU,11/26/2024
161,Mount Gambier,-37.8333,140.7667,62.28,96,99,2.46,AU,11/26/2024
162,San Luis de la Loma,17.2706,-100.8939,83.19,65,2,3.71,MX,11/26/2024
163,La Passe,45.5549,-0.8967,54.12,90,100,9.48,FR,11/26/2024
164,Kismayo,-0.3582,42.5454,81.46,80,34,9.98,SO,11/26/2024
165,Mount Pearl,47.5166,-52.7813,41.32,97,100,17.27,CA,11/26/2024
166,Mālvan,16.0667,73.4667,76.37,52,62,7.11,IN,11/26/2024
167,Luganville,-15.5333,167.1667,77.47,89,95,2.28,VU,11/26/2024
168,Lihue,21.9789,-159.3672,65.79,88,75,8.05,US,11/26/2024
169,Labuan,5.2767,115.2417,82.76,83,20,1.14,MY,11/26/2024
170,Avarua,-21.2078,-159.775,73.45,83,20,1.14,CK,11/26/2024
171,Gisborne,-38.6533,178.0042,56.93,85,39,5.46,NZ,11/26/2024
172,Chonchi,-42.6128,-73.8092,57.11,58,38,4.59,CL,11/26/2024
173,Aljezur,37.3191,-8.8033,60.06,60,74,4.14,PT,11/26/2024
174,Jamestown,42.097,-79.2353,42.03,84,75,19.57,US,11/26/2024
175,Las Lajitas,-24.6833,-64.25,92.98,45,100,7.9,AR,11/26/2024
176,Singoli,24.9667,75.3,65.95,29,0,2.55,IN,11/26/2024
177,Gryfino,53.2524,14.4883,46.65,79,64,7.43,PL,11/26/2024
178,Mahina,-17.5065,-149.489,82.17,69,0,2.3,PF,11/26/2024
179,Aral,40.5156,81.2636,32.72,52,6,6.38,CN,11/26/2024
180,Okoneshnikovo,54.8377,75.0834,10.38,93,13,4.38,RU,11/26/2024
181,Saipan,15.1355,145.701,83.1,78,40,18.41,MP,11/26/2024
182,Kirkland Lake,48.1446,-80.0377,34.09,80,100,0.0,CA,11/26/2024
183,Badger,64.8,-147.5333,12.36,83,100,3.44,US,11/26/2024
184,Houndé,11.5,-3.5167,89.46,12,38,7.74,BF,11/26/2024
185,Chippewa Falls,44.9369,-91.3929,23.41,75,20,13.8,US,11/26/2024
186,Tibati,6.4667,12.6333,79.93,24,5,8.28,CM,11/26/2024
187,Vadsø,70.0744,29.7487,26.76,80,0,14.97,NO,11/26/2024
188,Cidreira,-30.1811,-50.2056,70.34,93,93,6.15,BR,11/26/2024
189,Erenhot,43.6475,111.9767,11.12,40,1,17.98,CN,11/26/2024
190,Ngorongoro,-3.2397,35.4875,57.65,68,52,2.77,TZ,11/26/2024
191,Palmas,-10.2128,-48.3603,87.67,58,75,8.05,BR,11/26/2024
192,Puerto Francisco de Orellana,-0.4667,-76.9667,82.45,83,75,3.51,EC,11/26/2024
193,Alice Springs,-23.7,133.8833,72.95,73,93,8.05,AU,11/26/2024
194,Kochi,9.9399,76.2602,78.78,87,100,3.2,IN,11/26/2024
195,Baud,20.8333,84.3167,63.3,58,64,2.51,IN,11/26/2024
196,Hermanus,-34.4187,19.2345,63.81,73,27,23.49,ZA,11/26/2024
